Frequency;Impedance;Phase;Real;Imaginary;Magnitude
 1500 ; 3,39173207178941E-05 ; 23,0693280670629 ; 137 ;-4912 ; 4913,91015383879 
 1520 ; 3,64754826761259E-05 ; 26,4561180546601 ; 397 ;-4552 ; 4569,27926482941 
 1540 ; 3,96404384560914E-05 ; 29,5247267960841 ; 589 ;-4163 ; 4204,46072641903 
 1560 ; 4,31541133852567E-05 ; 32,6390823275266 ; 748 ;-3789 ; 3862,12700464394 
 1580 ; 4,70275708961628E-05 ; 35,9157482852502 ; 884 ;-3432 ; 3544,02031596886 
 1600 ; 5,19241615053203E-05 ; 38,9865304165897 ; 966 ;-3061 ; 3209,8094959047 
 1620 ; 5,70603322131283E-05 ; 41,9106684748883 ; 1020 ;-2737 ; 2920,88496863536 
 1640 ; 6,36735070701774E-05 ; 45,0497017064466 ; 1047 ;-2399 ; 2617,5198184541 
 1660 ; 7,19038075233474E-05 ; 47,9372728048875 ; 1033 ;-2075 ; 2317,91156000396 
 1680 ; 8,12008829286342E-05 ; 50,5968111456926 ; 999 ;-1793 ; 2052,52283787538 
 1700 ; 9,3925053780646E-05 ; 53,155366574966 ; 932 ;-1510 ; 1774,46442624246 
 1720 ; 1,09136739548451E-04 ; 55,6092316702219 ; 857 ;-1264 ; 1527,13620872534 
 1740 ; 1,3037961683694E-04 ; 57,561697053487 ; 753 ;-1033 ; 1278,31842668406 
 1760 ; 1,59220126385226E-04 ; 59,3706994665067 ; 643 ;-826 ; 1046,76883790071 
 1780 ; 2,02348238618839E-04 ; 60,2618864103928 ; 516 ;-642 ; 823,662552262758 
 1800 ; 2,66530238101535E-04 ; 60,1744497093766 ; 391 ;-488 ; 625,319918121916 
 1820 ; 3,85512345084576E-04 ; 56,9631716618271 ; 251 ;-352 ; 432,325109148196 
 1840 ; 6,44582566071047E-04 ; 46,6492479889913 ; 110 ;-234 ; 258,565272223476 
 1860 ; 1,0332254702244E-03 ; 4,16006643255477 ;-48 ;-154 ; 161,307160411434 
 1880 ; 8,04918200883069E-04 ;-41,8394874841079 ;-185 ;-93 ; 207,060377667964 
 1900 ; 5,01857803239151E-04 ;-63,8649383438769 ;-331 ;-27 ; 332,099382715476 
 1920 ; 3,67873668470124E-04 ;-67,6429926622414 ;-453 ;-7 ; 453,054080657045 
 1940 ; 2,87440926001377E-04 ;-71,5930109244467 ;-579 ; 31 ; 579,82928522109 
 1960 ; 2,34682201595559E-04 ;-69,8192414437326 ;-710 ; 16 ; 710,180258807579 
 1980 ; 2,02016491925861E-04 ;-68,1810445520671 ;-825 ;-5 ; 825,015151376022 
